,year,region_code,regions,age_group_code,average_weekly_income,expenditure_per_person,average_sale_price,hpi,cpi,annual_savings,downpayment_capacity,loan_to_value_ratio,affordability
43,2013,r001,Auckland,1,395.0,421.933349609375,777127.68512,1666.4249267578125,963.5,-1400.5341796875,-4201.6025390625,77712.76851200001,1
44,2007,r002,Rest of North Island,2,620.8333333333334,284.06667073567706,298311.20831825613,1514.0,834.5,17511.86645507813,52535.59936523439,29831.120831825614,6
45,2019,r001,Auckland,3,1063.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,28428.399576822914,85285.19873046875,123708.57462323771,4
46,2007,r005,Rest of South Island,3,704.0,312.5333251953125,324322.6469387755,1514.0,834.5,20356.26708984375,61068.80126953125,32432.26469387755,6
47,2019,r002,Rest of North Island,3,947.5,396.6999918619792,501821.60296517954,2560.3251953125,1035.25,28641.600423177082,85924.80126953125,50182.160296517955,6
48,2007,r005,Rest of South Island,1,476.6666666666667,312.5333251953125,324322.6469387755,1514.0,834.5,8534.933756510418,25604.801269531254,32432.26469387755,4
49,2019,r001,Auckland,1,600.0,516.3000081380209,1237085.7462323771,2560.3251953125,1035.25,4352.399576822914,13057.198730468743,123708.57462323771,1
50,2013,r002,Rest of North Island,1,493.6666666666667,326.0333251953125,300528.13243791973,1666.4249267578125,963.5,8716.933756510418,26150.801269531254,30052.813243791974,5
51,2019,r005,Rest of South Island,2,897.0,382.7666829427083,509277.888101983,2560.3251953125,1035.25,26740.132486979168,80220.3974609375,50927.7888101983,6
52,2007,r001,Auckland,1,388.0,354.566650390625,616027.9911622924,1514.0,834.5,1738.5341796875,5215.6025390625,61602.799116229246,1
53,2013,r004,Canterbury,1,539.0,360.2666829427083,393514.7318295739,1666.4249267578125,963.5,9294.132486979168,27882.397460937504,39351.473182957394,4
54,2010,r005,Rest of South Island,3,766.6666666666666,312.40000406901044,345598.64387917327,1453.3250732421875,906.0,23621.86645507812,70865.59936523436,34559.864387917325,6
55,2019,r004,Canterbury,1,578.0,441.2333170572917,431969.92042440316,2560.3251953125,1035.25,7111.867513020832,21335.602539062496,43196.99204244032,3
56,2010,r003,Wellington,3,891.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,24944.399576822918,74833.19873046875,41559.458303886924,6
57,2019,r003,Wellington,1,581.0,491.566650390625,649378.9025686448,2560.3251953125,1035.25,4650.5341796875,13951.6025390625,64937.890256864484,2
58,2016,r004,Canterbury,2,830.0,395.0,452376.05722070846,2268.175048828125,984.5,22620.0,67860.0,45237.605722070846,6
59,2019,r003,Wellington,3,1198.0,491.566650390625,649378.9025686448,2560.3251953125,1035.25,36734.5341796875,110203.6025390625,64937.890256864484,6
60,2013,r005,Rest of South Island,1,462.0,329.3666585286458,354149.2808564232,1666.4249267578125,963.5,6896.933756510418,20690.801269531254,35414.92808564232,3
61,2010,r003,Wellington,1,407.0,411.3000081380208,415594.58303886926,1453.3250732421875,906.0,-223.60042317708212,-670.8012695312464,41559.458303886924,1
62,2016,r004,Canterbury,1,537.0,395.0,452376.05722070846,2268.175048828125,984.5,7384.0,22152.0,45237.605722070846,3
63,2016,r003,Wellington,1,506.0,418.3333333333333,484828.82789530297,2268.175048828125,984.5,4558.666666666668,13676.000000000004,48482.8827895303,2
